SortNo,Music_Title,Nickname,Artist,BPM,Side,Pack,Version,FTR_Level,FTR_Const,BYD_Level,BYD_Const
106,Empire of Winter,えんぱいあおぶうぃんたー,Street,175,Hikari,Memory Archive,1.08,9,9,,
107,MERLIN,まーりん,REDALiCE,180,Hikari,Groove Coaster,1.09,8,8.9,,
108,DX超性能フルメタル少女,ふるめたるしょうじょ,IOSYS TRAX (uno with.ちょこ),160,Hikari,Groove Coaster,1.09,9.7,9.8,,
109,OMAKENO Stroke,おまけのすとろーく,t+pazolite,240,Tairitsu,Groove Coaster,1.09,9,9.5,,
110,Scarlet Lance,すかーれっとらんす,MASAKI (ZUNTATA),185,Hikari,Groove Coaster,1.09,10,10.1,,
111,ourboros -twin stroke of the end-,うろぼろす,Cranky VS MASAKI,188,Tairitsu,Groove Coaster,1.09,10.7,10.7,,
112,Libertas,りべるたす,Zekk,160,Hikari,Memory Archive,1.09,9,9.2,,
113,虚空の夢,こくうのゆめ,ak+q feat.Sennzai,162,Hikari,Eternal Core,1.09,8,8.8,,
114,Grimheart,ぐりむはーと,Puru,170,Hikari,Arcaea,2,8,8.6,,
115,ReviXy,りヴぃくしー,ikaruga nex,185,Tairitsu,Arcaea,2,9,9,,
116,Antithese,あんちてーぜ,Blacklolita,172,Tairitsu,Absolute Reason,2,8,8.8,,
117,Black Territory,ぶらっくてりとりー,DJ Myosuke,200,Tairitsu,Absolute Reason,2,9.7,9.8,,
118,Corruption,こらぷしょん,3R2,170,Tairitsu,Absolute Reason,2,9.7,9.8,,
119,Vicious Heroism,ヴぃしゃすひろいずむ,Kobaryo,256,Tairitsu,Absolute Reason,2,10,10,,
120,Cyaegha,しあえが,USAO,200,Tairitsu,Absolute Reason,2,10.7,10.7,,
121,VECTOR,べくたー,WHITEFISTS,200,Tairitsu,Arcaea,2,9,9.4,,
122,SUPERNOVA,すーぱーのば,BACO,150,Tairitsu,Arcaea,2,9.7,9.7,,
123,Dot to Dot feat. shully,どっととぅーどっと,Mameyudoufu,174,Hikari,Memory Archive,2,8,8.3,,
124,Garakuta Doll Play,がらくたどーるぷれい,t+pazolite,256,Tairitsu,CHUNITHM,2.01,10,10.4,,
125,怒槌,いかずち,光吉猛修,200,Tairitsu,CHUNITHM,2.01,10,10.4,,
126,World Vanquisher,わーるどばんきっしゃー,Void (Mournfinale),170,Hikari,CHUNITHM,2.01,10.7,10.8,,
127,Dreadnought,どれっどのーと,Mastermind (xi + nora2r),384,Tairitsu,Memory Archive,2.02,9.7,9.7,,
128,Particle Arts,ぱーてぃくるあーつ,Virtual Self,175,Tairitsu,Adverse Prelude,2.02,8,8.8,,
129,Vindication,ヴぃんでぃけーしょん,Laur,174,Hikari,Adverse Prelude,2.02,9,9.6,,
130,Heavensdoor,へぶんずどあ,LeaF,240,Tairitsu,Adverse Prelude,2.02,9.7,9.9,,
131,Ringed Genesis,りんぐどじぇねしす,Edelritter,160,Hikari,Adverse Prelude,2.02,10.7,10.8,,
132,Chelsea,ちぇるしー,7mai,174,Hikari,Sunset Radiance,2.03,8,8.5,,
133,AI[UE]OON,あいうえおおん,MYUKKE.,145,Hikari,Sunset Radiance,2.03,9,9.4,,
134,迷える音色は恋の唄,まよえるねいろはこいのうた,からとPanchii少年 feat.はるの,165,Hikari,Sunset Radiance,2.03,9,9.6,,
135,Tie me down gently,たいみーだうんじぇんとりぃ,溝口ゆうま feat. 大瀬良あい,191,Tairitsu,Sunset Radiance,2.03,8,8.3,,
136,Valhalla:0,ヴぁるはらぜろ,Juggernaut.,200,Tairitsu,Sunset Radiance,2.03,10,10.4,,
137,Mirzam,みるざむ,Aoi vs. siqlo,201,Tairitsu,Memory Archive,2.03,10,10,,
138,Diode,だいおーど,Kolaa,132,Hikari,Arcaea,2.04,8,8.1,,
139,FREEF4LL,ふりーふぉーる,YUKIYANAGI,170,Tairitsu,Arcaea,2.04,8,8.6,,
140,GLORY：ROAD,ぐろーりーどーど,uma vs. モリモリあつし,250,Hikari,Crimson Solace,2.04,10,10.6,,
141,Monochrome Princess,ものくろーむぷりんせす,polysha,160,Tairitsu,Arcaea,2.04,9.7,9.7,,
142,Heavenly caress,へぶんりーくれす,Noah,241,Hikari,Memory Archive,2.04,9.7,9.8,,
143,Senkyou,せんきょう,MYTK,90,Hikari,Arcaea,2.04,8,8.7,,
144,Filament,ふぃらめんと,Puru,170,Hikari,Memory Archive,2.04,9.7,9.7,,
145,Avant Raze,あばんとれいず,Sampling Masters MEGA,200,Tairitsu,Memory Archive,2.04,9,9.6,,
